Trip_Distance_km,Day_of_Week,Passenger_Count,Traffic_Conditions,Weather,Trip_Duration_Minutes,Trip_Price
49.51,Weekend,2.0,Medium,Clear,13.75,46.207800000000006
16.8,Weekday,4.0,Medium,Rain,62.63,26.9585
13.48,Weekday,3.0,Low,Rain,96.07,38.769
34.39,Weekday,4.0,Low,Clear,72.05,71.7971
21.18,Weekday,2.0,Low,Rain,51.27,46.1432
18.09,Weekday,4.0,Medium,Clear,7.7,19.2698
46.55,Weekday,3.0,High,Clear,42.88,83.375
41.7,Weekday,2.0,Low,Clear,66.74,80.7792
48.29,Weekend,3.0,Medium,Rain,109.74,104.1555
36.81,Weekday,2.0,Low,Clear,19.66,78.95210000000002
46.98,Weekend,4.0,Low,Clear,15.7,101.6666
9.88,Weekend,1.0,Medium,Clear,72.77,25.8142
37.31,Weekday,2.0,High,Clear,35.63,54.9343
29.15,Weekday,2.0,Medium,Clear,108.44,81.9816
39.97,Weekday,3.0,Medium,Rain,107.38,47.846900000000005
9.02,Weekday,3.0,Low,Clear,89.73,
9.05,Weekend,2.0,Medium,Clear,59.73,19.1069
40.91,Weekday,1.0,Medium,Clear,19.1,57.53359999999999
33.59,Weekday,1.0,Low,Rain,111.71,69.7245
26.63,Weekend,2.0,High,Clear,57.22,57.1264
43.98,Weekend,4.0,Low,Clear,47.22,72.8562
22.52,Weekend,2.0,Medium,Clear,62.07,
19.47,Weekday,2.0,Low,Clear,84.35,40.56649999999999
23.67,Weekday,1.0,Medium,Snow,43.49,62.2353
37.63,Weekday,4.0,Medium,Clear,85.34,38.6058
25.63,Weekday,3.0,Medium,Rain,85.95,59.886
12.38,Weekday,2.0,Medium,Rain,61.64,29.9606
45.08,Weekend,2.0,High,Clear,110.21,70.29329999999999
19.81,Weekday,3.0,Low,Rain,61.26,43.8544
45.42,Weekend,3.0,Medium,Clear,27.93,50.89789999999999
6.73,Weekday,4.0,Low,Clear,9.87,20.0083
47.05,Weekday,4.0,Low,Snow,77.86,128.6549
31.76,Weekday,3.0,Low,Clear,33.58,34.952
7.82,Weekend,2.0,Low,Rain,93.64,36.1464
39.91,Weekday,4.0,Medium,Clear,42.63,75.4875
31.38,Weekday,4.0,High,Clear,32.85,28.6304
27.14,Weekend,2.0,Medium,Clear,24.44,31.4354
44.8,Weekend,1.0,Low,Clear,94.11,108.2325
39.64,Weekday,4.0,Medium,Rain,19.92,57.3952
8.43,Weekday,4.0,Low,Clear,57.18,
13.18,Weekday,4.0,Medium,Clear,84.05,55.86
37.45,Weekday,4.0,Low,Clear,77.83,32.2063
2.64,Weekday,1.0,Medium,Snow,98.23,51.2833
28.92,Weekend,1.0,Medium,Clear,10.15,22.5469
38.36,Weekday,3.0,Medium,Clear,39.09,49.3168
43.96,Weekday,2.0,Low,Clear,37.22,59.0718
41.24,Weekday,1.0,High,Clear,38.26,60.92600000000001
42.48,Weekday,4.0,High,Clear,65.02,96.7288
7.25,Weekend,3.0,Low,Clear,81.33,23.3579
20.47,Weekday,3.0,Medium,Rain,48.83,31.306
8.35,Weekday,4.0,Medium,Clear,43.66,36.5375
12.23,Weekday,4.0,Medium,Clear,38.38,25.9025
36.28,Weekday,2.0,Low,Rain,7.73,66.039
32.42,Weekday,4.0,Low,Clear,14.18,49.852
35.0,Weekday,2.0,Low,Snow,53.07,64.2861
27.59,Weekend,1.0,Medium,Clear,113.43,75.27289999999999
9.9,Weekend,3.0,Medium,Clear,102.33,45.4312
45.51,Weekday,4.0,Medium,Rain,89.21,100.305
29.59,Weekend,4.0,High,Snow,75.26,64.73160000000001
23.64,Weekend,1.0,Low,Clear,51.47,
47.42,Weekend,3.0,High,Rain,30.47,95.9602
29.73,Weekend,1.0,Low,Clear,68.12,47.488200000000006
25.79,Weekday,2.0,Medium,Clear,66.91,30.5797
30.96,Weekday,2.0,High,Clear,69.98,53.9468
43.73,Weekday,4.0,Low,Clear,108.76,138.6425
35.14,Weekend,2.0,Medium,Clear,113.49,53.550900000000006
35.65,Weekend,4.0,Low,Rain,35.49,43.8543
8.47,Weekend,2.0,High,Clear,61.93,25.4565
30.73,Weekend,3.0,Medium,Rain,63.09,72.553
46.78,Weekend,3.0,Medium,Clear,34.03,90.7801
46.35,Weekday,1.0,Medium,Clear,89.15,68.52850000000001
23.09,Weekday,3.0,High,Rain,23.94,48.835
6.55,Weekend,3.0,Medium,Rain,45.41,21.6555
49.26,Weekday,4.0,Low,Clear,35.46,109.4304
42.11,Weekday,1.0,High,Clear,45.23,67.3902
7.11,Weekday,2.0,Low,Rain,86.46,20.2751
26.42,Weekend,3.0,Low,Clear,16.49,60.7394
29.97,Weekday,3.0,Medium,Clear,97.58,64.86420000000001
20.55,Weekday,3.0,Low,Snow,47.54,53.16
3.68,Weekday,3.0,Medium,Clear,79.58,43.224
17.42,Weekday,4.0,Medium,Clear,88.42,62.0624
40.34,Weekend,1.0,Medium,Clear,29.11,43.31230000000001
20.51,Weekday,3.0,Medium,Snow,54.3,50.07450000000001
27.33,Weekday,4.0,High,Clear,25.97,22.0141
46.07,Weekend,3.0,High,Clear,113.36,87.7201
17.97,Weekend,3.0,Low,Clear,91.83,33.3599
37.14,Weekday,3.0,Low,Clear,43.84,52.0972
23.16,Weekday,2.0,High,Clear,98.11,62.1095
23.17,Weekday,2.0,Low,Clear,93.07,78.1988
7.9,Weekday,3.0,Medium,Clear,55.74,42.1098
25.42,Weekday,4.0,Low,Snow,49.45,49.1871
18.76,Weekday,2.0,High,Clear,117.24,53.4536
1.64,Weekday,2.0,Medium,Rain,82.51,41.3681
33.51,Weekend,4.0,Low,Rain,67.27,61.9923
9.72,Weekend,2.0,High,Clear,101.99,36.2571
48.09,Weekend,1.0,High,Clear,92.6,90.4747
8.28,Weekday,4.0,Medium,Snow,11.7,19.4986
49.85,Weekday,3.0,Medium,Clear,104.35,76.737
30.17,Weekday,4.0,Medium,Clear,103.47,99.0039
37.75,Weekday,2.0,Medium,Snow,44.99,30.0888
11.29,Weekday,3.0,Medium,Clear,105.79,62.6572
45.0,Weekend,3.0,High,Clear,28.19,72.13080000000001
11.05,Weekday,4.0,Medium,Clear,14.0,15.5675
10.34,Weekday,1.0,Medium,Clear,95.63,43.8625
28.68,Weekday,2.0,Medium,Rain,103.25,40.174
4.22,Weekday,3.0,Low,Clear,83.98,25.095
39.0,Weekend,1.0,Low,Clear,64.81,90.8983
23.21,Weekday,4.0,Medium,Clear,100.48,45.85979999999999
26.7,Weekend,1.0,Medium,Clear,53.21,47.8069
22.6,Weekday,1.0,Medium,Clear,27.31,51.058800000000005
20.64,Weekday,3.0,Low,Clear,37.76,40.2564
28.42,Weekday,3.0,Medium,Snow,63.09,59.74210000000001
8.61,Weekday,3.0,Low,Clear,66.1,32.2544
9.91,Weekend,2.0,Medium,Clear,97.64,57.075500000000005
43.23,Weekday,2.0,Low,Rain,96.01,70.8329
19.29,Weekend,3.0,Low,Clear,94.79,48.2843
2.24,Weekend,3.0,Medium,Clear,13.69,8.6709
8.65,Weekday,3.0,Medium,Rain,33.37,16.1592
33.29,Weekday,3.0,High,Clear,52.09,50.996100000000006
11.88,Weekday,2.0,Medium,Clear,39.27,22.7573
12.32,Weekday,3.0,Low,Clear,6.37,19.9427
33.92,Weekend,4.0,Low,Clear,39.58,36.09780000000001
1.97,Weekday,1.0,Medium,Clear,71.48,32.428200000000004
6.1,Weekday,3.0,Medium,Clear,48.23,32.1352
40.2,Weekday,3.0,High,Clear,66.51,78.18800000000002
9.75,Weekend,1.0,Medium,Clear,105.81,45.2855
32.98,Weekday,3.0,High,Clear,109.94,78.64779999999999
5.87,Weekend,4.0,Low,Clear,58.15,28.0701
36.39,Weekday,4.0,Low,Clear,114.15,94.5643
42.93,Weekday,2.0,Medium,Clear,119.84,43.19980000000001
33.74,Weekday,4.0,High,Rain,48.47,56.3682
11.04,Weekend,2.0,High,Clear,5.93,11.596999999999998
15.36,Weekday,1.0,Low,Clear,6.06,16.9168
44.92,Weekday,2.0,Low,Clear,57.97,101.8744
1.64,Weekday,3.0,Low,Clear,61.16,32.7396
5.19,Weekday,4.0,Low,Rain,7.6,12.7333
11.19,Weekday,3.0,Low,Clear,84.0,35.964
9.89,Weekday,2.0,Low,Snow,69.39,38.95910000000001
29.57,Weekday,3.0,Low,Clear,39.61,50.117900000000006
21.65,Weekday,3.0,High,Clear,24.22,31.6941
13.71,Weekday,3.0,Low,Clear,27.87,22.3206
19.6,Weekday,3.0,Medium,Clear,63.47,48.127500000000005
29.92,Weekday,1.0,Low,Clear,23.1,
14.14,Weekday,4.0,Low,Clear,82.16,59.8622
31.58,Weekend,1.0,Medium,Rain,91.7,54.3684
21.06,Weekend,3.0,Medium,Clear,17.7,44.7904
28.05,Weekday,1.0,Medium,Clear,58.8,45.9215
22.37,Weekday,3.0,Medium,Clear,13.15,34.376400000000004
15.43,Weekend,3.0,Medium,Clear,73.79,48.2267
38.42,Weekday,1.0,Low,Clear,65.68,54.76660000000001
7.87,Weekday,2.0,Low,Clear,64.51,26.1975
24.88,Weekend,2.0,High,Clear,68.14,55.3432
44.83,Weekend,3.0,Medium,Snow,72.04,64.7223
40.19,Weekday,1.0,Medium,Clear,51.19,52.9218
21.84,Weekday,4.0,Low,Clear,114.14,46.639
14.17,Weekend,4.0,Low,Snow,37.82,19.7235
27.54,Weekend,1.0,Low,Clear,102.08,80.7576
13.64,Weekday,4.0,Medium,Rain,100.3,39.275
7.83,Weekday,4.0,Medium,Clear,99.63,29.3753
41.91,Weekday,2.0,Medium,Clear,26.72,63.7777
49.24,Weekday,2.0,Medium,Clear,85.63,54.67150000000001
26.76,Weekday,2.0,High,Clear,38.42,42.398
9.41,Weekend,3.0,Low,Clear,39.21,28.1281
1.9,Weekend,1.0,Low,Clear,88.44,29.9812
6.77,Weekend,2.0,High,Clear,5.1,10.4444
14.43,Weekday,4.0,High,Clear,24.69,29.0627
28.15,Weekday,2.0,High,Clear,17.02,22.2951
32.92,Weekday,4.0,Low,Clear,32.31,38.8456
11.11,Weekend,3.0,Medium,Clear,59.73,25.1652
1.54,Weekday,3.0,High,Clear,10.13,9.8718
7.71,Weekday,3.0,Low,Clear,116.62,53.726
43.82,Weekday,4.0,Low,Clear,42.17,73.3691
30.27,Weekend,4.0,Medium,Clear,41.65,41.0174
30.43,Weekend,2.0,Medium,Clear,56.58,65.0136
33.59,Weekday,4.0,Medium,Clear,77.02,55.5074
9.59,Weekend,2.0,High,Clear,21.83,20.2164
21.52,Weekend,3.0,High,Rain,103.83,93.5096
19.77,Weekday,4.0,Low,Clear,34.47,47.6252
26.43,Weekend,4.0,Medium,Clear,48.72,58.65549999999999
3.3,Weekend,2.0,Low,Clear,105.2,33.183
9.15,Weekday,2.0,Medium,Snow,81.26,48.8108
37.16,Weekend,1.0,Medium,Snow,44.3,46.3014
13.02,Weekday,1.0,High,Clear,89.6,48.0134
18.43,Weekend,2.0,Low,Clear,114.78,45.03040000000001
28.75,Weekend,2.0,High,Rain,63.9,59.68299999999999
24.33,Weekday,3.0,High,Clear,46.42,33.7362
46.9,Weekday,4.0,High,Clear,84.34,48.44540000000001
36.9,Weekend,4.0,Low,Clear,106.66,100.5938
2.53,Weekday,2.0,Medium,Clear,110.59,56.688500000000005
13.85,Weekday,4.0,Medium,Clear,98.75,59.6075
30.16,Weekend,4.0,Medium,Clear,117.57,
25.32,Weekend,4.0,Medium,Rain,37.19,62.7976
30.25,Weekend,2.0,Medium,Clear,17.18,46.0189
17.38,Weekday,2.0,Low,Rain,17.91,23.1248
38.77,Weekday,1.0,Medium,Clear,38.49,38.6747
6.22,Weekend,4.0,Medium,Clear,75.63,46.6313
4.68,Weekend,4.0,Medium,Rain,97.5,53.6582
36.68,Weekday,4.0,Low,Clear,108.41,85.5747
25.28,Weekend,3.0,Medium,Snow,76.73,73.3549
34.73,Weekday,4.0,Low,Clear,5.65,44.88589999999999
22.31,Weekday,2.0,Low,Clear,26.43,54.6247
13.07,Weekend,2.0,Medium,Clear,16.47,24.6973
41.14,Weekend,3.0,Medium,Rain,46.78,82.44200000000001
40.17,Weekday,3.0,Low,Clear,62.66,56.6394
35.04,Weekend,4.0,Medium,Rain,9.99,
14.34,Weekday,1.0,Medium,Clear,45.07,30.7837
18.69,Weekday,3.0,Medium,Clear,79.41,51.8548
5.49,Weekend,4.0,Medium,Clear,58.39,34.4049
45.95,Weekday,4.0,Medium,Clear,61.96,62.12950000000001
7.7,Weekday,3.0,Low,Rain,54.18,33.1236
47.56,Weekday,1.0,Low,Clear,114.94,61.209
22.85,Weekend,3.0,Medium,Clear,29.69,45.44370000000001
